neptune seq length/score graph by kmer
k = 10
,length,score

k = 13
,length,score

k = 16
,length,score
5.54,0.9375,336
2.1294,0.9357,410
4.1384,0.9354,285
4.766,0.9351,285
4.656,0.9350,78
3.217,0.9350,191
3.814,0.9347,189
5.283,0.9343,154
1.1115,0.9340,225
2.1434,0.9338,77
3.1561,0.9335,488
2.801,0.9328,217
3.667,0.9320,227
5.597,0.9318,425
0.897,0.9317,90
1.761,0.9317,313
3.1921,0.9316,307
3.112,0.9310,148
4.1045,0.9295,168
5.596,0.9291,177
3.1562,0.9282,307
4.1,0.9280,97
4.119,0.9275,91
0.384,0.9273,162
4.333,0.9272,319
2.71,0.9268,334
2.989,0.9268,357
1.699,0.9267,265
0.820,0.9265,336
4.705,0.9255,163
1.1242,0.9253,384
4.765,0.9244,480
1.1607,0.9243,428
3.1606,0.9239,157
3.41,0.9237,350
4.1164,0.9226,277
0.661,0.9215,367
1.274,0.9205,220
4.609,0.9195,641
0.976,0.9191,186
2.72,0.9184,177
4.295,0.9183,175
5.847,0.9180,186
0.643,0.9180,233
5.458,0.9176,187
2.1497,0.9170,202
4.879,0.9161,235
0.798,0.9161,154
3.1822,0.9157,195
3.808,0.9145,221
4.1653,0.9139,177
3.811,0.9132,205
3.1355,0.9124,174
3.836,0.9114,83
3.839,0.9110,232
4.1481,0.9108,188
0.1338,0.9100,300
1.1501,0.9095,345
3.317,0.9086,103
1.789,0.9075,319
0.1281,0.9073,124
3.1820,0.9071,140
4.770,0.9062,100
1.290,0.9061,186
4.685,0.9060,186
0.1398,0.9059,177
0.1912,0.9054,206
5.487,0.9049,118
4.781,0.9042,88
0.1340,0.9037,191
4.704,0.9034,352
4.51,0.9034,93
2.810,0.9018,177
0.1445,0.9008,216
4.768,0.9002,243
4.1132,0.9000,105
2.1714,0.8997,107
4.582,0.8990,81
4.406,0.8988,96
2.920,0.8987,164
4.553,0.8976,178
2.690,0.8970,271
4.1381,0.8967,289
3.759,0.8945,154
4.1353,0.8936,76
0.464,0.8935,179
2.1297,0.8919,180
4.88,0.8917,1859
1.138,0.8916,167
2.1623,0.8907,198
3.1316,0.8883,233
1.1137,0.8877,106
3.809,0.8867,150
2.1340,0.8862,129
0.1285,0.8860,86
1.42,0.8846,161
3.1931,0.8839,192
1.1676,0.8836,114
2.1426,0.8830,91
1.1525,0.8826,243
3.748,0.8823,242
5.106,0.8809,108
0.1309,0.8797,209
0.318,0.8787,105
4.1620,0.8775,158
4.1414,0.8772,171
1.295,0.8761,85
0.1724,0.8722,90
4.1274,0.8718,152
3.316,0.8718,103
4.340,0.8706,145
3.85,0.8700,80
4.407,0.8697,145
3.782,0.8692,110
3.1309,0.8687,96
3.1932,0.8680,153
0.1044,0.8671,79
3.84,0.8671,292
1.43,0.8671,124
3.1188,0.8670,89
2.1028,0.8670,91
3.87,0.8669,158
0.382,0.8660,154
3.300,0.8654,154
5.595,0.8647,2119
4.428,0.8645,102
0.1796,0.8645,99
4.603,0.8622,787
1.818,0.8610,557
0.1469,0.8606,104
3.875,0.8594,76
3.494,0.8591,84
3.804,0.8568,135
5.1817,0.8563,113
0.1501,0.8552,106
3.289,0.8536,107
0.867,0.8533,147
3.1585,0.8532,124
3.1564,0.8499,178
3.72,0.8497,622
4.1101,0.8482,100
0.525,0.8437,87
4.70,0.8431,113
2.522,0.8414,147
5.1056,0.8413,92
4.1120,0.8383,145
4.602,0.8379,99
2.1560,0.8374,115
4.1258,0.8372,128
4.24,0.8353,128
2.1169,0.8345,189
2.127,0.8342,96
5.1472,0.8329,117
0.1902,0.8322,107
3.202,0.8321,145
4.652,0.8320,98
3.1182,0.8304,103
3.1885,0.8265,122
2.1602,0.8251,115
3.1203,0.8250,88
5.456,0.8245,104
1.280,0.8239,83
1.1770,0.8230,97
